 Number XWIN YWIN XWORLD YWORLD MAG MAGERROR FLUX FLUXERROR FLUXRADIUS FWHM BACKGROUND RA DEC BMAG GMAG RMAG BmG BmR GmR
116 119 993.9952 834.193 273.47506681 -18.641021308 -4.1816 0.4426 47.05897 19.17718 0.9359999999999999 4.06 52.23957 273.4750668 -18.641021300000002 11.1937571 9.97397423 8.89576626 1.2197828699999995 2.297990839999999 1.0782079699999993
117 120 488.1918 834.3218 273.22254187 -18.879476052 -4.2883 0.4038 51.91851 19.30347 1.145 3.3 52.090559999999996 273.22254189999995 -18.8794761 99.0 99.0 99.0 0.0 0.0 0.0
118 122 1588.5237 785.9482 273.74737065 -18.337836519 -4.2988 0.402 52.42355 19.40373 0.968 2.21 52.05758 273.7473706 -18.337836499999998 12.292311699999999 10.0545177 8.70681 2.237793999999999 3.5855016999999982 1.347707699999999
119 123 1360.2296 774.1634 273.62787725 -18.439974145999997 -4.5412 0.3257 65.53588 19.65302 1.2329999999999999 2.62 52.192209999999996 273.6278772 -18.4399741 99.0 99.0 99.0 0.0 0.0 0.0
120 124 45.1752 773.4094 272.97049081 -19.059102965999998 -5.4022 0.1606 144.8396 21.41946 1.32 3.86 52.327909999999996 272.97049080000005 -19.059103 99.0 99.0 99.0 0.0 0.0 0.0
121 125 301.713 1720.5102 273.57022764 -19.385808368 -4.5243 0.3274 64.52631 19.45456 1.028 3.19 52.26547 273.5702276 -19.3858084 10.1121435 9.53235054 8.80482483 0.5797929600000007 1.3073186700000008 0.7275257100000001
122 126 419.9828 1721.3628 273.62981519 -19.330418689000002 -3.8414 0.5977 34.40164 18.93365 0.927 2.89 52.26867 273.6298152 -19.3304187 9.83454227 9.81287193 9.69068909 0.02167034000000001 0.1438531800000007 0.12218284000000068
123 127 674.3095 1718.0793 273.75567833 -19.208675927 -5.152 0.1971 115.0247 20.87415 1.105 3.09 52.23117 273.75567830000006 -19.2086759 9.21366501 9.13781166 8.91945267 0.07585334999999915 0.29421233999999963 0.21835899000000047
124 128 618.5515 1706.4074 273.72185043 -19.229534344 -4.9115 0.2404 92.16986 20.40223 0.855 2.62 52.21369 273.7218504 -19.2295343 9.21102905 9.05885029 8.77480125 0.15217875999999997 0.43622780000000105 0.2840490400000011
125 129 1504.2352 1696.7071 274.15891712 -18.80626132 -7.5529 0.0383 1049.921 37.06754 1.122 2.0 51.85818 274.1589171 -18.806261300000003 99.0 99.0 99.0 0.0 0.0 0.0
126 130 1211.3631 1635.629 273.98262714 -18.916052247 -4.1247 0.4584 44.6544 18.84761 0.919 0.98 52.13053 273.9826271 -18.9160522 10.251686099999999 10.1280317 9.86981583 0.1236543999999995 0.3818702699999985 0.258215869999999
127 131 1513.7811 1604.1308 274.11755173 -18.758294304 -5.2818 0.1778 129.6345 21.22121 1.9 3.94 51.612790000000004 274.1175517 -18.7582943 9.84436226 9.74180603 9.50829124 0.10255623000000114 0.33607102000000033 0.2335147899999992
128 132 1697.7897 1619.8367 274.21681606 -18.678386267 -5.3058 0.1744 132.5328 21.28939 1.639 3.57 51.821999999999996 274.2168161 -18.6783863 9.50075054 9.52154922 9.51416874 -0.020798680000000402 -0.013418200000000269 0.007380480000000134
129 135 1467.0349 1593.4493 274.08882692 -18.775340807 -4.8878 0.2441 90.18008 20.270310000000002 1.374 1.82 51.87659 274.08882689999996 -18.7753408 12.9645329 9.89626312 8.38717842 3.0682697799999996 4.57735448 1.5090847000000007
130 136 1085.9082 1528.8491 273.86677173 -18.925200121 -7.892 0.0317 1434.806 41.93909 1.149 2.22 52.273109999999996 273.86677169999996 -18.9252001 8.11408329 6.70335102 5.54557657 1.4107322699999996 2.5685067200000002 1.1577744500000007
131 137 967.897 1554.0578 273.82047206 -18.992775656 -7.2735 0.0452 811.7338 33.7519 1.1909999999999998 2.15 51.933659999999996 273.8204721 -18.9927757 7.07639599 7.03687191 6.9141674 0.03952407999999963 0.16222858999999978 0.12270451000000016
132 138 1486.7621 1533.3934 274.06907401 -18.737244714000003 -5.2986 0.1761 131.6593 21.34808 2.8280000000000003 4.21 51.68909 274.069074 -18.737244699999998 10.0167761 9.94112873 9.76106262 0.07564736999999866 0.25571347999999894 0.18006611000000028
133 139 1907.0286 1537.4448 274.27953571 -18.540549026 -5.5576 0.144 167.1321 22.16333 1.263 3.22 51.747209999999995 274.2795357 -18.540549 9.87892628 9.06286621 8.18277645 0.8160600700000007 1.6961498299999995 0.8800897599999988
134 140 1234.6577 1473.8584 273.91352893 -18.829042326 -4.578 0.3171 67.79744000000001 19.79593 1.337 2.9 52.05523 273.91352889999996 -18.8290423 10.807780300000001 10.1488533 9.36950779 0.6589270000000003 1.438272510000001 0.7793455100000006
135 141 1825.6075 1474.1544 274.20770259 -18.549443575999998 -5.5643 0.1428 168.1663 22.11044 1.6980000000000002 4.17 51.6476 274.2077026 -18.5494436 99.0 99.0 99.0 0.0 0.0 0.0
136 142 456.5056 1481.4145 273.52861948 -19.200078233 -5.7075 0.1277 191.8746 22.56555 1.864 3.72 51.81106 273.5286195 -19.2000782 9.43238831 9.17675591 8.73398781 0.25563239999999965 0.6984005 0.44276810000000033
137 143 543.4783 1456.0595 273.56000443 -19.146861009000002 -4.8988 0.2419 91.10213 20.293039999999998 2.77 2.91 51.8417 273.56000439999997 -19.146860999999998 99.0 99.0 99.0 0.0 0.0 0.0
138 144 871.235 1453.2944 273.72203529 -18.990947715999997 -4.5499 0.3247 66.06497 19.75212 0.94 1.94 51.97118 273.7220353 -18.9909477 10.0923462 10.0732412 10.0011749 0.019104999999999706 0.09117129999999918 0.07206629999999947
139 145 722.9655 1444.1828 273.64335686 -19.056687745 -5.8906 0.1123 227.1192 23.47766 1.216 1.94 52.04515 273.64335689999996 -19.056687699999998 8.48085976 8.48342323 8.42265606 -0.002563470000000123 0.05820369999999997 0.06076717000000009
140 146 1379.3377 1374.9175 273.93640776 -18.713933939 -4.233 0.4234 49.34001 19.23656 1.252 2.9 52.05243 273.93640780000004 -18.713933899999997 10.9021511 10.6048212 10.135355 0.29732989999999937 0.7667960999999988 0.4694661999999994
141 147 1574.7696 1365.9121 274.02915236 -18.61743896 -4.7485 0.2738 79.32523 20.000770000000003 1.646 3.1 51.773740000000004 274.0291524 -18.617439 11.1988831 10.4314556 9.5820837 0.7674275000000002 1.6167993999999997 0.8493718999999995
142 148 497.9577 1346.2905 273.48191213 -19.116661623 -5.181 0.1926 118.1374 20.94857 1.3019999999999998 3.22 51.84718 273.48191210000005 -19.1166616 99.0 99.0 99.0 0.0 0.0 0.0
143 149 1653.3553 1349.0646 274.05987549 -18.57221057 -5.3476 0.1688 137.7295 21.411089999999998 1.344 2.32 51.77554 274.0598755 -18.572210600000002 11.6455603 9.50108242 8.16418171 2.14447788 3.4813785900000003 1.33690071
144 150 1488.0972 1343.2612 273.97480459 -18.647926767999998 -4.4307 0.3576 59.194359999999996 19.491020000000002 1.334 2.47 51.895559999999996 273.9748046 -18.6479268 10.355855 10.9159212 10.125210800000001 -0.5600661999999996 0.23064419999999863 0.7907103999999983
145 151 1046.756 1336.0318 273.75107125 -18.853059265 -3.4971 0.81 25.051389999999998 18.68509 0.578 2.49 52.25513 273.75107119999996 -18.853059299999998 11.4947433 9.68252754 8.40737152 1.812215759999999 3.08737178 1.2751560200000007
146 152 897.9977 1312.9534 273.66520449 -18.912128694 -1.8253 3.6696 5.371651 18.15084 0.259 2.26 52.28679 273.6652045 -18.912128699999997 99.0 99.0 99.0 0.0 0.0 0.0
147 153 1956.6685 1312.8056 274.19250577 -18.411854654000003 -5.3178 0.1735 134.0078 21.403010000000002 1.6740000000000002 2.88 51.84088 274.1925058 -18.4118547 9.87030792 9.78072929 9.56600666 0.0895786300000001 0.3043012600000008 0.2147226300000007
148 154 141.7065 1252.1954 273.25690244 -19.239948548 -4.6998 0.2851 75.84324000000001 19.913529999999998 1.195 4.12 52.362159999999996 273.2569024 -19.239948499999997 9.79459572 9.31398869 8.67251015 0.4806070299999998 1.1220855699999994 0.6414785399999996
149 156 1377.3936 1261.2339 273.87870374 -18.661296129 -8.4946 0.0231 2499.529 53.105880000000006 1.163 3.25 52.22991 273.8787037 -18.6612961 6.08515739 5.96435022 5.694592 0.12080716999999996 0.3905653899999999 0.26975821999999994
150 157 1442.8184 1205.573 273.88359849 -18.604254083 -5.4493 0.156 151.2647 21.724870000000003 0.945 2.24 52.03391 273.8835985 -18.604254100000002 9.52608299 8.86903095 8.08333492 0.65705204 1.4427480700000004 0.7856960300000004
151 158 1059.1772 1177.4388 273.67857342 -18.772148311 -3.4539 0.8168 24.07474 18.10803 0.6890000000000001 0.97 52.1781 273.67857339999995 -18.7721483 8.31945705 7.11083126 6.03123951 1.2086257900000001 2.2882175400000007 1.0795917500000005
152 159 1054.9608 1196.5244 273.68577812 -18.783227476 -7.6063 0.0372 1102.897 37.73065 1.065 1.99 52.19337 273.68577810000005 -18.7832275 8.31945705 7.11083126 6.03123951 1.2086257900000001 2.2882175400000007 1.0795917500000005
153 160 2002.215 1228.6291 274.17312345 -18.350608430999998 -3.9318 0.5522 37.38834 19.01235 1.079 3.25 51.98211 274.17312339999995 -18.3506084 11.610639599999999 10.4956961 9.46575069 1.114943499999999 2.144888909999999 1.0299454099999998
154 161 1803.1093 1215.9265 274.06784675 -18.43882496 -5.5258 0.1476 162.3018 22.05409 1.168 2.11 51.88427 274.06784669999996 -18.438825 9.110698699999999 9.00910187 8.77314758 0.1015968299999983 0.33755111999999876 0.23595429000000046
155 162 614.0193 1193.6045 273.46401351 -18.989868755 -5.6796 0.1309 186.9935 22.53218 1.3559999999999999 2.92 51.97211 273.46401349999996 -18.9898688 8.77915764 8.63167953 8.32577229 0.14747810999999977 0.4533853499999996 0.3059072399999998
156 163 998.2268 1154.9631 273.63680116 -18.790456086 -5.5749 0.1416 169.8115 22.14762 1.1840000000000002 2.17 52.035090000000004 273.63680120000004 -18.7904561 9.95410824 9.18376923 8.32932091 0.7703390100000007 1.6247873300000002 0.8544483199999995
157 164 2004.0608 1133.2398 274.12653948 -18.304747613 -5.4892 0.1513 156.9179 21.854589999999998 1.516 3.43 51.702729999999995 274.1265395 -18.304747600000002 10.937705000000001 9.42858315 8.25657082 1.5091218500000014 2.681134180000001 1.1720123299999994
158 165 2018.7503 1082.7694 274.1077881 -18.275009187000002 -5.7744 0.1442 204.0631 27.093740000000004 5.143 4.45 51.44652 274.1077881 -18.2750092 99.0 99.0 99.0 0.0 0.0 0.0
159 166 890.8149 991.757 273.50196462 -18.764353219 -4.6462 0.2982 72.18825 19.82154 1.599 2.91 51.90217 273.5019646 -18.764353200000002 10.4272766 10.3214493 10.100605 0.1058273000000014 0.32667160000000095 0.22084429999999955
160 167 1482.1265 1042.4307 273.82192041 -18.508675775 -5.9868 0.1044 248.1508 23.85071 1.6219999999999999 4.86 51.81818 273.8219204 -18.5086758 11.1959486 8.98763847 7.63388634 2.208310129999999 3.5620622599999994 1.3537521300000002
161 168 1935.158 1058.2102 274.05507948 -18.302155389 -5.1374 0.2002 113.494 20.9183 1.359 2.38 52.29486 274.0550795 -18.302155399999997 10.856459599999999 9.91891003 8.972488400000001 0.9375495699999998 1.8839711999999977 0.9464216299999979
162 169 101.0763 1014.646 273.1179865 -19.14709069 -5.8563 0.1148 220.043 23.254 1.671 5.54 52.04883 273.11798650000003 -19.1470907 10.781785000000001 8.85037708 7.53403044 1.9314079200000016 3.2477545600000006 1.316346639999999
