 Number XWIN YWIN XWORLD YWORLD MAG MAGERROR FLUX FLUXERROR FLUXRADIUS FWHM BACKGROUND RA DEC BMAG GMAG RMAG BmG BmR GmR
17 19 1161.6959 320.0664 273.30397828 -18.319404815 -5.203 0.1907 120.5593 21.1664 1.459 2.4 50.884479999999996 273.30397830000004 -18.3194048 10.4212837 9.87492657 9.17276001 0.5463571300000005 1.2485236900000007 0.7021665600000002
18 20 823.5696 327.4659 273.13905493 -18.481840292 -4.9288 0.236 93.65536 20.35585 1.6230000000000002 2.91 50.68148 273.13905489999996 -18.4818403 9.99942303 9.78639793 9.42704487 0.2130251000000012 0.5723781600000013 0.3593530600000001
19 21 1094.6011 336.1419 273.27843524 -18.358572493 -4.9594 0.2312 96.32735 20.503870000000003 1.3630000000000002 2.38 50.944559999999996 273.2784352 -18.3585725 10.155690199999999 9.97843075 9.6391983 0.17725944999999932 0.5164918999999983 0.339232449999999
20 22 437.5425 349.9156 272.95693943 -18.67421777 -4.471 0.3471 61.430130000000005 19.634439999999998 1.19 4.09 52.260329999999996 272.9569394 -18.6742178 10.243598 9.92575073 9.42728996 0.3178472699999997 0.8163080400000009 0.4984607700000012
21 23 728.629 351.2078 273.10303308 -18.537923079000002 -5.1652 0.195 116.4313 20.90781 2.383 2.9 50.6049 273.1030331 -18.537923100000004 11.573452900000001 10.451908099999999 9.41845894 1.1215448000000023 2.1549939600000005 1.0334491599999982
22 24 707.8217 357.248 273.09612517 -18.55049833 -4.823 0.2542 84.9606 19.88815 3.034 3.71 50.75761 273.09612519999996 -18.5504983 11.573452900000001 10.451908099999999 9.41845894 1.1215448000000023 2.1549939600000005 1.0334491599999982
23 25 458.7048 371.3399 272.97798134 -18.674373883 -5.3546 0.1685 138.6233 21.51057 1.0959999999999999 3.08 52.43769 272.9779813 -18.674373899999996 99.0 99.0 99.0 0.0 0.0 0.0
24 26 1645.9912 443.4385 273.6061039 -18.149191779000002 -6.435 0.0766 374.9582 26.43935 1.171 2.16 51.99603 273.6061039 -18.1491918 8.15282154 8.13899899 8.05891323 0.013822550000000433 0.09390830999999977 0.08008575999999934
25 27 439.6633 463.9115 273.0143025 -18.727192166 -5.1633 0.1945 116.2351 20.82222 1.129 2.95 52.181290000000004 273.0143025 -18.727192199999998 99.0 99.0 99.0 0.0 0.0 0.0
26 28 1707.3526 459.6046 273.64465389 -18.127823669 -4.4853 0.3369 62.24811999999999 19.3087 1.069 0.99 52.06455 273.6446539 -18.1278237 10.693408999999999 10.1563597 9.46451187 0.5370492999999996 1.2288971299999982 0.6918478299999986
27 29 627.2327 482.8522 273.11781065 -18.647969121 -4.5785 0.3156 67.8282 19.71126 1.254 3.27 52.07649 273.11781060000004 -18.6479691 10.1319046 9.78724766 9.2703743 0.34465694000000013 0.8615303000000001 0.51687336
28 30 1831.3323 483.8993 273.71827254 -18.080838915999998 -4.5339 0.3305 65.09747 19.81299 0.9670000000000001 3.05 51.9471 273.7182725 -18.0808389 10.8999767 9.77167892 8.72161865 1.1282977800000005 2.17835805 1.0500602699999995
29 31 1198.0331 501.515 273.41186129 -18.387873431 -6.7692 0.0614 510.1304 28.82422 1.126 2.26 51.85322 273.4118613 -18.3878734 7.78706789 7.77063227 7.69948959 0.016435620000000206 0.08757830000000055 0.07114268000000035
30 32 1130.8233 531.9173 273.39358248 -18.434005303 -4.8406 0.2538 86.34433 20.17547 1.37 3.84 51.401 273.39358250000004 -18.434005300000003 10.056620599999999 9.85720348 9.49401855 0.1994171199999979 0.5626020499999989 0.36318493000000096
31 33 412.7533 533.9364 273.03598482 -18.77296207 -4.6179 0.3053 70.33022 19.774620000000002 1.3259999999999998 4.06 52.15075 273.03598480000005 -18.7729621 10.3713131 9.66686249 8.85621929 0.7044506100000003 1.5150938099999998 0.8106431999999995
32 34 823.6429 543.2236 273.24574838 -18.584134951 -4.5991 0.3061 69.12441 19.48595 0.932 2.28 52.26275 273.24574839999997 -18.584135 99.0 99.0 99.0 0.0 0.0 0.0
33 35 1340.2231 549.0511 273.50633934 -18.343257812 -4.358 0.3821 55.3587 19.47922 1.085 2.51 52.1446 273.50633930000004 -18.3432578 11.122386 10.097330099999999 9.10179234 1.0250559000000017 2.020593660000001 0.9955377599999995
34 36 1524.1048 583.7754 273.61503488 -18.27296418 -5.9246 0.1095 234.3419 23.630979999999997 1.4369999999999998 2.53 51.80369 273.6150349 -18.2729642 99.0 99.0 99.0 0.0 0.0 0.0
35 37 260.7071 591.1076 272.98798241 -18.871461234 -5.5519 0.1442 166.2464 22.066979999999997 1.304 4.61 52.27528 272.98798239999996 -18.8714612 13.0232344 8.50557327 6.83031654 4.5176611300000005 6.19291786 1.6752567299999992
36 38 1889.1641 616.7046 273.8128966 -18.116130614 -4.9928 0.2241 99.3418 20.49505 2.1390000000000002 2.05 51.84205 273.8128966 -18.1161306 99.0 99.0 99.0 0.0 0.0 0.0
37 39 1116.9299 614.0247 273.42732725 -18.479376255 -2.79 1.519 13.06127 18.26928 0.39399999999999996 2.7 51.9518 273.4273272 -18.479376300000002 12.559948 10.0702486 8.66206551 2.489699400000001 3.8978824900000006 1.4081830899999996
38 40 1144.7289 619.8337 273.44407093 -18.468868324000002 -5.2858 0.1772 130.1149 21.23253 1.011 2.32 52.04287 273.4440709 -18.4688683 10.7773037 9.21622753 8.0031786 1.5610761699999998 2.774125099999999 1.2130489299999994
39 41 1417.0754 638.4298 273.58891172 -18.349244854000002 -5.4219 0.1593 147.4921 21.63787 1.229 2.85 52.03941 273.5889117 -18.3492449 10.2386894 9.29997253 8.35057926 0.9387168700000004 1.8881101400000002 0.9493932699999998
